初一上道德与法治,#genre#
001-中学序曲（第一课时）,https://d006.eduyun.cn/videoworks/mda-kicmcm6zahi0fkwj/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】中学序曲1.m3u8
002-中学序曲（第二课时）,https://d006.eduyun.cn/videoworks/mda-kicm9wwyerudaxvz/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】中学序曲2.m3u8
003-少年有梦（第一课时）,https://d006.eduyun.cn/videoworks/mda-kicm7hfajk2uyq9w/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】少年有梦1.m3u8
004-少年有梦（第二课时）,https://d006.eduyun.cn/videoworks/mda-kicm3tmai2rxz7e3/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】少年有梦2.m3u8
005-学习伴成长（第一课时）,https://d006.eduyun.cn/videoworks/mda-kiiqts9z8ur3k0sa/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】学习伴成长1.m3u8
006-学习伴成长（第二课时）,https://d006.eduyun.cn/videoworks/mda-kiiqpqtc9bzhdcme/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】学习伴成长2.m3u8
007-享受学习,https://d006.eduyun.cn/videoworks/mda-kirp468tj633af6d/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】享受学习.m3u8
008-认识自己（第一课时）,https://d006.eduyun.cn/videoworks/mda-kirp88txqq3qfm2m/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】认识自己1.m3u8
009-认识自己（第二课时）,https://d006.eduyun.cn/videoworks/mda-ki0cufm2ne8mqt7h/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】认识自己（第二课时）.m3u8
010-做更好的自己,https://d006.eduyun.cn/videoworks/mda-ki0cc578uig98gu6/ykt_tbkt_hls_1080_7/video/初一【道德与法治（统编版）】做更好的自己.m3u8
