高一上地理,#genre#
01-地球的宇宙环境,https://d006.eduyun.cn/videoworks/mda-kicm9n0pifiiu46h/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】地球的宇宙环境.m3u8
02-太阳对地球的影响,https://d006.eduyun.cn/videoworks/mda-kicm45rpi3vc7tw5/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】太阳对地球的影响.m3u8
03-地球的历史（第一课时）,https://d006.eduyun.cn/videoworks/mda-kicmpwr5j1bvevd4/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】地球的历史（第一课时）.m3u8
04-地球的历史（第二课时）,https://d006.eduyun.cn/videoworks/mda-kicmygakkr06myjr/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】地球的历史（第二课时）.m3u8
05-地球的圈层结构,https://d006.eduyun.cn/videoworks/mda-kiiqp98sad81umq7/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】地球的圈层结构.m3u8
06-实践体验：模拟太阳系,https://d006.eduyun.cn/videoworks/mda-kiiqi96fs8ib7hzi/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】实践体验：模拟太阳系.m3u8
07-大气的组成和垂直分层,https://d006.eduyun.cn/videoworks/mda-kirpzqeqwudg6qcc/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】大气的组成和垂直分层.m3u8
08-大气受热过程和大气运动（第一课时）,https://d006.eduyun.cn/videoworks/mda-kirp54ix1ymn6udh/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】大气受热过程和大气运动（第一课时）.m3u8
09-大气受热过程和大气运动（第二课时）,https://d006.eduyun.cn/videoworks/mda-kiydq06ni8vh7r3h/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】大气受热过程和大气运动（第二课时）.m3u8
10-大气受热过程和大气运动（第三课时）,https://d006.eduyun.cn/videoworks/mda-ki0c2zks06ybav9r/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】大气受热过程和大气运动（第三课时）.m3u8
11-实践研究：何时“蓝天”常在？,https://d006.eduyun.cn/videoworks/mda-ki4mm0rbagt6e6a5/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】实践探究：何时“蓝天”常在？.m3u8
12-水循环（第一课时）,https://d006.eduyun.cn/videoworks/mda-ki4m75g97mekb2mx/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】水循环（第一课时）.m3u8
13-水循环（第二课时）,https://d006.eduyun.cn/videoworks/mda-kjng747i05g0knjk/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】水循环（第二课时）.m3u8
14-海水的性质（第一课时）,https://d006.eduyun.cn/videoworks/mda-kjng6hijv8jdb005/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】海水的性质（第一课时）.m3u8
15-海水的性质（第二课时）,https://d006.eduyun.cn/videoworks/mda-kjngigat26wfydup/ykt_tbkt_hls_1080_7/video/高一【地理（人教）】海水的性质（第二课时）.m3u8
